"Individual","Treatment","Timepoint","Magnification","Image","Nuclei_Count","Mean_of_Mean","Mean_of_Median","Mean_of_Max","Mean_Percent_Red_Positive","Mean_Red_Positive_Pixels"
"Ind2","DOX","24R","10X","DOX24R_87_yh2ax_10X_RGB_0007_DAPI",1473,46.6346644518272,33.9514950166113,86.7767441860465,246.575393355482,305.215282392027
"Ind2","DOX","24R","10X","DOX24R_87_yh2ax_10X_dup_RGB_0001_DAPI",344,27.4545393586006,15.6967930029155,70.2798833819242,142.106810495627,419.501457725948
"Ind2","DOX","24R","10X","DOX24R_87_yh2ax_10X_dup_RGB_0002_DAPI",344,25.3531078717201,15.1720116618076,62.8921282798834,133.330131195335,392.562682215743
"Ind2","DOX","24R","10X","DOX24R_87_yh2ax_10X_dup_RGB_0003_DAPI",284,26.2046877192982,14.2561403508772,69.7929824561404,127.66869122807,412.031578947368
"Ind2","DOX","24R","10X","DOX24R_87_yh2ax_10X_dup_RGB_0004_DAPI",263,27.8897452471483,17.3117870722433,60.4448669201521,159.682456273764,353.596958174905
"Ind2","DOX","24R","10X","DOX24R_87_yh2ax_10X_dup_RGB_0005_DAPI",263,27.8897452471483,17.3117870722433,60.4448669201521,159.682456273764,353.596958174905
"Ind2","DOX","24R","10X","DOX24R_87_yh2ax_10X_dup_RGB_0006_DAPI",355,26.7594325842697,15.9775280898876,71.1320224719101,138.190519662921,426.23595505618
"Ind2","DOX","24R","20X","24R_DOX_87_yh2ax_20X_RGB_0001_DAPI",343,50.1903848396501,21.0845481049563,151.618075801749,626.497049562682,1880.19825072886
"Ind2","DOX","24R","20X","24R_DOX_87_yh2ax_20X_RGB_0002_DAPI",335,36.1326029850746,18.910447761194,95.6268656716418,567.823910447761,1671.58507462687
"Ind2","DOX","24R","20X","24R_DOX_87_yh2ax_20X_RGB_0010_DAPI",343,28.9041836734694,18.3760932944606,68.0816326530612,539.423119533528,1640.26530612245
"Ind2","DOX","24R","20X","24R_DOX_87_yh2ax_20X_RGB_0011_DAPI",343,50.1903848396501,21.0845481049563,151.618075801749,626.497049562682,1880.19825072886
"Ind2","DOX","24R","40X","DOX_24R_87_yH2AX_40X-dup_RGB_0001_DAPI",46,71.1770652173913,18.2391304347826,233.717391304348,2613.38032608696,5497.28260869565
"Ind2","DOX","24R","40X","DOX_24R_87_yH2AX_40X-dup_RGB_0002_DAPI",86,78.0759534883721,22.6395348837209,233.558139534884,2717.41534883721,6546.76744186046
"Ind2","DOX","24R","40X","DOX_24R_87_yH2AX_40X-dup_RGB_0003_DAPI",113,80.8152300884956,28.0088495575221,222.283185840708,2754.12340707965,4615.22123893805
"Ind2","DOX","24R","40X","DOX_24R_87_yH2AX_40X_RGB_0001_DAPI",54,72.3529814814815,18.0925925925926,235.388888888889,2496.80085185185,6942.2037037037
"Ind2","DOX","24T","10X","24T_DOX_87_yh2ax_10X_RGB_0001_DAPI",444,22.3360273972603,11.4977168949772,56.6689497716895,102.416470319635,271.904109589041
"Ind2","DOX","24T","10X","24T_DOX_87_yh2ax_10X_RGB_0002_DAPI",230,24.826864628821,11.0043668122271,70.6200873362445,108.53127510917,366.048034934498
"Ind2","DOX","24T","10X","24T_DOX_87_yh2ax_10X_RGB_0003_DAPI",779,22.5270913770914,13.4478764478764,50.0720720720721,111.192755469755,233.288288288288
"Ind2","DOX","24T","10X","24T_DOX_87_yh2ax_10X_RGB_0004_DAPI",424,38.2379765258216,18.4906103286385,102.892018779343,173.649349765258,577.6220657277
"Ind2","DOX","24T","10X","DOX24T_87_yh2ax_10X_RGB_0001_DAPI",689,34.4350202312139,26.2687861271676,59.3959537572254,241.58735982659,382.576589595376
"Ind2","DOX","24T","10X","DOX24T_87_yh2ax_10X_RGB_0002_DAPI",674,31.6739928673324,27.0641940085592,48.169757489301,247.584710413695,274.459343794579
"Ind2","DOX","24T","10X","DOX24T_87_yh2ax_10X_RGB_0003_DAPI",701,43.3236854219949,38.1150895140665,60.5204603580563,249.027094629156,189.058823529412
"Ind2","DOX","24T","10X","DOX24T_87_yh2ax_10X_dup_RGB_0001_DAPI",905,37.4649878987899,24.8437843784378,75.1023102310231,221.344134213421,364.534653465347
"Ind2","DOX","24T","10X","DOX24T_87_yh2ax_10X_dup_RGB_0002_DAPI",1278,41.0007024087024,28.1072261072261,79.0854700854701,236.30474980575,380.130536130536
"Ind2","DOX","24T","10X","DOX24T_87_yh2ax_10X_dup_RGB_0003_DAPI",390,42.6321333333333,21,99.8153846153846,189.252305128205,376.469230769231
"Ind2","DOX","24T","10X","DOX24T_87_yh2ax_10X_dup_RGB_0004_DAPI",1466,42.0192848484849,30.1043771043771,78.3912457912458,241.84111043771,346.665993265993
"Ind2","DOX","24T","10X","DOX24T_87_yh2ax_10X_dup_RGB_0005_DAPI",626,43.5987751196172,28.5964912280702,83.7272727272727,230.645701754386,411.488038277512
"Ind2","DOX","24T","10X","DOX24T_87_yh2ax_10X_dup_RGB_0006_DAPI",626,43.5987751196172,28.5964912280702,83.7272727272727,230.645701754386,411.488038277512
"Ind2","DOX","24T","10X","DOX24T_87_yh2ax_10X_dup_RGB_0007_DAPI",752,40.535927344782,26.7992073976222,82.3830911492735,226.634487450462,371.702774108322
"Ind2","DOX","24T","20X","24T_DOX_87_yh2ax_20X_RGB_0001_DAPI",63,23.847619047619,7.11111111111111,80.3650793650794,301.238396825397,1051.39682539683
"Ind2","DOX","24T","20X","DOX24T_87_yh2ax_20X_RGB_0001_DAPI",185,32.1439513513514,23.4810810810811,53.7567567567568,662.229708108108,783.583783783784
"Ind2","DOX","24T","20X","DOX24T_87_yh2ax_20X_RGB_0002_DAPI",224,32.0932589285714,25.8303571428571,50.5089285714286,674.687633928571,734.245535714286
"Ind2","DOX","24T","20X","DOX24T_87_yh2ax_20X_RGB_0003_DAPI",256,25.7781167315175,19.5058365758755,44.5758754863813,572.948898832685,1094.73929961089
"Ind2","DOX","24T","20X","DOX24T_87_yh2ax_20X_RGB_0004_DAPI",152,36.0528552631579,25.7697368421053,72.9736842105263,676.368105263158,1650.75
"Ind2","DOX","24T","20X","DOX24T_87_yh2ax_20X_dup_RGB_0001_DAPI",201,32.3537114427861,12.6616915422886,95.4676616915423,426.943044776119,1196.74626865672
"Ind2","DOX","24T","20X","DOX24T_87_yh2ax_20X_dup_RGB_0001edit_DAPI",15,NA,NA,NA,NA,NA
"Ind2","DOX","24T","20X","DOX24T_87_yh2ax_20X_dup_RGB_0002_DAPI",370,34.6278,16.1486486486486,87.0702702702703,522.764740540541,1331.73783783784
"Ind2","DOX","24T","40X","DOX24T_87_yh2ax_40X_RGB_0001_DAPI",60,78.44895,20,218.633333333333,2588.08185,5699.56666666667
"Ind2","DOX","24T","40X","DOX24T_87_yh2ax_40X_RGB_0002_DAPI",18,110.612444444444,20.4444444444444,252.888888888889,2506.69477777778,7254.05555555556
"Ind2","DOX","24T","40X","DOX24T_87_yh2ax_40X_RGB_0003_DAPI",96,87.6406458333333,24.21875,227.677083333333,2718.29496875,5399.3125
"Ind2","DOX","24T","40X","DOX24T_87_yh2ax_40X_dup_RGB_0001_DAPI",22,122.279,26.3636363636364,243.318181818182,2405.75481818182,4789.63636363636
"Ind2","DOX","24T","40X","DOX_24T_87_yH2AX_40X-dup_RGB_0001_DAPI",40,69.56725,17.325,219.975,2482.8795,6618.975
"Ind2","DOX","24T","40X","DOX_24T_87_yH2AX_40X-dup_RGB_0002_DAPI",78,76.3977820512821,21.0769230769231,216.858974358974,2603.68696153846,4839.71794871795
"Ind2","DOX","24T","40X","DOX_24T_87_yH2AX_40X_RGB_0001_DAPI",75,63.40392,30.28,167.253333333333,2772.21226666667,4779.02666666667
"Ind2","DOX","24T","40X","DOX_24T_87_yH2AX_40X_RGB_0002_DAPI",79,77.0914556962025,22.873417721519,224.658227848101,2762.4050886076,4828.16455696203
"Ind4","DMSO","144R","10X","DMSO_144R_75_EMP_10X_RGB_0001_DAPI",226,14.1258064516129,11.3655913978495,34.4623655913978,13.9195376344086,37.0967741935484
"Ind4","DMSO","144R","10X","DMSO_144R_75_EMP_10X_RGB_0002_DAPI",505,14.303962962963,11.6805555555556,32.3009259259259,21.3598009259259,38.5416666666667
